,input,output,instruction,context,DistilBERT_pred,MobileBERT_pred
1794,"Neste Oil Corporation is a refining and marketing company concentrating on clean , high-quality traffic fuels .",neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: Neste Oil Corporation is a refining and marketing company concentrating on clean , high-quality traffic fuels .
Answer: ",neutral,neutral
1802,And that 's exactly what happened on a recent weekday when an East Haven baker was brought in to remind residents about the Easter tradition of making wheat and rice pies .,neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: And that 's exactly what happened on a recent weekday when an East Haven baker was brought in to remind residents about the Easter tradition of making wheat and rice pies .
Answer: ",neutral,neutral
1806,It helps our stakeholders get a better understanding of our operations and the challenges in stainless steel business .,neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: It helps our stakeholders get a better understanding of our operations and the challenges in stainless steel business .
Answer: ",neutral,neutral
1810,"One can even receive on the spot alerts as soon as jobs are posted , putting you at the front of the queue for opportunities .",neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: One can even receive on the spot alerts as soon as jobs are posted , putting you at the front of the queue for opportunities .
Answer: ",neutral,neutral
1816,"The CL51 is designed to measure cloud base height and vertical visibility in all weather conditions , which makes it an ideal instrument for meteorological applications that rely on reliable cloud height detection .",positive,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: The CL51 is designed to measure cloud base height and vertical visibility in all weather conditions , which makes it an ideal instrument for meteorological applications that rely on reliable cloud height detection .
Answer: ",positive,neutral
1819,"The paper industry 's de-inking sludge , which is produced in mills that use recycled fiber when printing ink is removed from recovered paper , is also a suitable raw material .",neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: The paper industry 's de-inking sludge , which is produced in mills that use recycled fiber when printing ink is removed from recovered paper , is also a suitable raw material .
Answer: ",neutral,neutral
1823,- I am pleased that Bjorn Wahlroos has accepted the nomination .,positive,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: - I am pleased that Bjorn Wahlroos has accepted the nomination .
Answer: ",positive,neutral
1824,"`` Korean consumers are tech-savvy and leading the pack in terms of design , '' Gill Hyun-chang , president of Motorola Korea Inc. , told Dow Jones Newswires in an interview .",neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: `` Korean consumers are tech-savvy and leading the pack in terms of design , '' Gill Hyun-chang , president of Motorola Korea Inc. , told Dow Jones Newswires in an interview .
Answer: ",neutral,neutral
1827,`` We want to serve K-citymarket customers by offering them interesting and topical selections .,neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: `` We want to serve K-citymarket customers by offering them interesting and topical selections .
Answer: ",neutral,neutral
1828,Finnish food industry companies are interested in the opportunities provided by Ukraine .,neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: Finnish food industry companies are interested in the opportunities provided by Ukraine .
Answer: ",neutral,neutral
1834,Active shipping is essential for Finland .,neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: Active shipping is essential for Finland .
Answer: ",neutral,neutral
1838,"Chic and cheerful , Finnish design house Marimekko has been sending its geometric textiles out into the world for the past 60 years .",neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: Chic and cheerful , Finnish design house Marimekko has been sending its geometric textiles out into the world for the past 60 years .
Answer: ",neutral,neutral
